N 20 95021:0
UTG 21 10595:0 32419:0 3 1
N 21 10595:0
N 21 10447:0
N 21 32419:0
UTG 22 10595:0 32419:0 3 1
N 22 10595:0
N 22 52034:0
N 22 32419:0
UTG 23 27053:1 60475:0 3 1
N 23 27053:1
N 23 12044:0
N 23 60475:0
UTG 24 27053:1 60475:0 3 1
N 24 27053:1
N 24 85739:0
N 24 60475:0
UTG 25 106651:1 115350:1 3 1
N 25 106651:1
N 25 114690:0
N 25 115350:1
UTG 26 106651:1 115350:1 3 1
N 26 106651:1
N 26 76455:1
N 26 115350:1
UTG 27 51770:1 47506:1 7 1
N 27 51770:1
N 27 70992:0
N 27 62336:1
N 27 67430:0
N 27 33044:0
N 27 7599:0
N 27 47506:1
UTG 28 51770:1 47506:1 3 1
N 28 51770:1
N 28 113369:1
N 28 47506:1
UTG 29 91030:0 82174:1 3 1
N 29 91030:0
N 29 68220:0
N 29 82174:1
UTG 30 91030:0 82174:1 7 1
N 30 91030:0
N 30 105341:1
N 30 13508:0
N 30 106117:1
N 30 82478:1
N 30 22074:0
N 30 82174:1
UTG 31 1123:1 91030:0 72 1
N 31 1123:1
N 31 102176:0
N 31 93727:1
N 31 95395:1
N 31 52398:0
N 31 101483:1
N 31 20760:1
N 31 14673:1
N 31 17258:0
N 31 94214:1
N 31 3220:0
N 31 114103:1
N 31 51946:1
N 31 5120:0
N 31 74089:1
N 31 25110:1
N 31 94660:0
N 31 53034:0
N 31 5124:1
N 31 17229:0
N 31 19271:0
N 31 26065:0
N 31 37285:1
N 31 2390:1
N 31 60514:0
N 31 34072:1
N 31 26612:1
N 31 55731:0
N 31 19019:1
N 31 46241:1
N 31 94583:1
N 31 57040:1
N 31 83301:1
N 31 91752:0
N 31 46733:1
N 31 102558:1
N 31 70124:0
N 31 99771:0
N 31 72274:1
N 31 60512:1
N 31 18833:1
N 31 92285:1
N 31 74479:1
N 31 80524:1
N 31 55468:0
N 31 44641:1
N 31 89985:0
N 31 24086:1
N 31 62769:1
N 31 69596:1
N 31 103341:0
N 31 82381:0
N 31 82853:0
N 31 114681:1
N 31 27162:1
N 31 106567:1
N 31 110431:0
N 31 102415:0
N 31 84564:1
N 31 15535:0
N 31 82995:1
N 31 68806:0
N 31 63498:1
N 31 111388:0
N 31 53421:0
N 31 40139:0
N 31 91505:1
N 31 63036:0
N 31 67910:0
N 31 66467:1
N 31 25873:1
N 31 91030:0
UTG 32 108512:0 64927:0 8 1
N 32 108512:0
N 32 111936:1
N 32 33165:1
N 32 35377:1
N 32 4363:1
N 32 34185:1
N 32 20720:1
N 32 64927:0
UTG 33 108512:0 64927:0 13 1
N 33 108512:0
N 33 52895:0
N 33 44978:0
N 33 111592:1
N 33 54434:0
N 33 80994:0
N 33 37297:0
N 33 100801:1
N 33 108767:1
N 33 53207:1
N 33 49208:1
N 33 49022:0
N 33 64927:0
UTG 34 22443:1 33254:0 2 1
N 34 22443:1
N 34 33254:0
UTG 35 103172:1 82174:0 55 1
N 35 103172:1
N 35 39550:1
N 35 36157:1
N 35 43978:1
N 35 106396:1
N 35 1343:0
N 35 54048:1
N 35 104509:1
N 35 1277:1
N 35 51145:0
N 35 64788:0
N 35 69036:1
N 35 52961:0
N 35 43775:0
N 35 64359:0
N 35 55358:0
N 35 73562:0
N 35 12993:1
N 35 62215:0
N 35 24832:0
N 35 14287:1
N 35 18581:0
N 35 50262:1
N 35 111715:0
N 35 66621:0
N 35 81958:0
N 35 76449:0
N 35 114760:1
N 35 104132:0
N 35 93714:1
N 35 4639:0
N 35 48632:0
N 35 10250:1
N 35 79623:0
N 35 58389:0
N 35 62493:0
N 35 96375:1
N 35 98667:1
N 35 35327:0
N 35 25708:1
N 35 78953:0
N 35 83479:1
N 35 97500:1
N 35 99507:1
N 35 47487:0
N 35 35481:1
N 35 43153:0
N 35 59104:1
N 35 41760:0
N 35 80804:0
N 35 52125:0
N 35 31438:0
N 35 99856:0
N 35 80713:0
N 35 82174:0
UTG 36 10991:1 4225:0 4 1
N 36 10991:1
N 36 83257:0
N 36 51820:0
N 36 4225:0
UTG 37 10991:1 4225:0 3 1
N 37 10991:1
N 37 26773:1
N 37 4225:0
UTG 38 79581:0 52071:0 18 1
N 38 79581:0
N 38 21966:0
N 38 113116:0
N 38 6822:1
N 38 29911:0
N 38 50225:1
N 38 88136:1
N 38 15809:1
N 38 101492:0
N 38 52522:1
N 38 24115:0
N 38 91835:0
N 38 98246:1
N 38 16552:0
N 38 108853:1
N 38 74401:0
N 38 13619:1
N 38 52071:0
UTG 39 59101:0 27053:1 193 1
N 39 59101:0
N 39 29083:1
N 39 29113:0
N 39 114773:1
N 39 399:1
N 39 80578:0
N 39 77467:1
N 39 56958:1
N 39 101528:0
N 39 20632:0
N 39 109383:0
N 39 59583:0
N 39 38963:1
N 39 60046:1
N 39 45842:1
N 39 74775:1
N 39 18919:1
N 39 109398:1
N 39 78569:0
N 39 9836:0
N 39 112774:0
N 39 107070:0
N 39 63312:0
N 39 95775:1
N 39 95450:0
N 39 83352:1
N 39 31081:1
N 39 84350:0
N 39 11693:0
N 39 87703:0
N 39 54271:0
N 39 99963:1
N 39 45315:1
N 39 67724:0
N 39 83935:1
N 39 25977:0
N 39 104371:0
N 39 64801:0
N 39 8340:0
N 39 38954:0
N 39 105195:1
N 39 53459:0
N 39 73284:1
N 39 63937:1
N 39 72346:1
N 39 88678:0
N 39 18533:0
N 39 80557:1
N 39 15153:0
N 39 83144:0
N 39 100263:0
N 39 68494:1
N 39 53693:1
N 39 89380:0
N 39 59585:0
N 39 58353:1
N 39 58225:0
N 39 109994:0
N 39 1466:1
N 39 32238:0
N 39 28892:1
N 39 87278:1
N 39 100481:0
N 39 36471:1
N 39 104688:0
N 39 15696:1
N 39 104305:1
N 39 75577:0
N 39 24249:1
N 39 11734:0
N 39 103118:0
N 39 70414:0
N 39 61217:0
N 39 19883:0
N 39 11652:1
N 39 105688:0
N 39 94096:0
N 39 20606:1
N 39 61845:1
N 39 81062:0
N 39 107069:1
N 39 933:0
N 39 105902:0
N 39 31727:0
N 39 25408:0
N 39 23397:1
N 39 13172:0
N 39 33919:0
N 39 98432:1
N 39 3679:1
N 39 12542:0
N 39 76723:0
N 39 78534:1
N 39 12431:1
N 39 102456:1
N 39 67297:0
N 39 32288:0
N 39 109403:0
N 39 104714:0
N 39 9122:0
N 39 2263:0
N 39 26977:1
N 39 57846:0
N 39 1017:0
N 39 9620:1
N 39 66453:0
N 39 104748:0
N 39 82163:1
N 39 9902:1
N 39 62525:0
N 39 47066:0
N 39 17287:0
N 39 20583:1
N 39 73867:0
N 39 82912:0
N 39 102081:0
N 39 26300:0
N 39 22469:0
N 39 95599:1
N 39 62531:0
N 39 46093:0
N 39 113041:1
N 39 61538:0
N 39 90034:0
N 39 78376:0
N 39 58168:0
N 39 39905:1
N 39 1450:1
N 39 3212:1
N 39 48134:1
N 39 93150:1
N 39 26651:0
N 39 63205:0
N 39 1380:1
N 39 257:0
N 39 103000:1
N 39 67738:0
N 39 7296:0
N 39 35689:0
N 39 91806:0
N 39 46168:0
N 39 10554:1
N 39 15380:0
N 39 48524:0
N 39 60941:0
N 39 44334:1
N 39 94503:1
N 39 98998:0
N 39 88886:1
N 39 112256:0
N 39 38426:0
N 39 8560:0
N 39 111022:0
N 39 28703:0
N 39 29003:0
N 39 87466:0
N 39 60043:0
N 39 1917:0
N 39 79782:0
N 39 81197:0
N 39 38325:1
N 39 15150:0
N 39 78415:1
N 39 17981:0
N 39 101101:0
N 39 115620:1
N 39 80660:1
N 39 41770:1
N 39 58526:1
N 39 74731:1
N 39 82032:1
N 39 90341:1
N 39 1555:0
N 39 83611:1
N 39 32268:0
N 39 56382:1
N 39 36935:0
N 39 64938:1
N 39 92568:0
N 39 21649:1
N 39 26774:0
