N 19 619:1
N 19 52803:1
N 19 27053:1
UTG 20 38805:1 114064:0 2 1
N 20 38805:1
N 20 114064:0
UTG 21 8556:1 92900:0 2 1
N 21 8556:1
N 21 92900:0
UTG 22 63304:0 17736:1 2 1
N 22 63304:0
N 22 17736:1
UTG 23 64786:0 32968:0 74 1
N 23 64786:0
N 23 47647:0
N 23 28330:0
N 23 89439:1
N 23 52056:1
N 23 33105:1
N 23 85619:1
N 23 67917:0
N 23 30953:1
N 23 20161:1
N 23 115607:1
N 23 23315:0
N 23 67987:0
N 23 60055:0
N 23 8568:1
N 23 91804:0
N 23 14508:1
N 23 13706:1
N 23 52643:0
N 23 8230:0
N 23 70232:1
N 23 54410:1
N 23 29968:0
N 23 26967:1
N 23 73404:0
N 23 64065:0
N 23 195:0
N 23 67946:1
N 23 91337:0
N 23 26546:1
N 23 29430:0
N 23 64573:1
N 23 15824:0
N 23 17892:0
N 23 107628:1
N 23 74074:1
N 23 32400:0
N 23 14432:1
N 23 60853:0
N 23 114432:1
N 23 98981:0
N 23 61279:0
N 23 36943:1
N 23 22568:1
N 23 95501:0
N 23 856:1
N 23 109814:1
N 23 34931:1
N 23 73711:0
N 23 114502:0
N 23 61074:1
N 23 61320:1
N 23 100690:0
N 23 25776:0
N 23 13535:0
N 23 30580:0
N 23 20800:0
N 23 58837:0
N 23 62771:1
N 23 97038:0
N 23 37631:1
N 23 62714:1
N 23 21894:0
N 23 44481:0
N 23 8696:0
N 23 56521:1
N 23 59143:0
N 23 66945:0
N 23 44132:1
N 23 34398:0
N 23 115147:1
N 23 111745:0
N 23 93900:0
N 23 32968:0
UTG 24 64274:1 23781:0 3 1
N 24 64274:1
N 24 66827:0
N 24 23781:0
UTG 25 64274:1 23781:0 3 1
N 25 64274:1
N 25 5516:0
N 25 23781:0
UTG 26 78331:0 15470:0 2 1
N 26 78331:0
N 26 15470:0
UTG 27 8901:0 69318:0 3 1
N 27 8901:0
N 27 37507:0
N 27 69318:0
UTG 28 8901:0 69318:0 3 1
N 28 8901:0
N 28 57416:0
N 28 69318:0
UTG 29 47539:1 70709:0 3 1
N 29 47539:1
N 29 54633:1
N 29 70709:0
UTG 30 47539:1 70709:0 3 1
N 30 47539:1
N 30 105587:1
N 30 70709:0
UTG 31 93143:1 99660:0 2 1
N 31 93143:1
N 31 99660:0
UTG 32 105039:0 51547:1 2 1
N 32 105039:0
N 32 51547:1
UTG 33 78266:0 11630:0 4 1
N 33 78266:0
N 33 83137:1
N 33 89561:1
N 33 11630:0
UTG 34 78266:0 11630:0 5 1
N 34 78266:0
N 34 9560:1
N 34 88331:0
N 34 91562:1
N 34 11630:0
UTG 35 16713:1 25740:1 2 1
N 35 16713:1
N 35 25740:1
UTG 36 24375:0 30633:0 2 1
N 36 24375:0
N 36 30633:0
UTG 37 108634:1 29606:0 59 1
N 37 108634:1
N 37 105931:0
N 37 68050:0
N 37 102781:0
N 37 95571:0
N 37 37044:1
N 37 14183:1
N 37 7450:1
N 37 52611:0
N 37 20407:1
N 37 79766:0
N 37 67928:0
N 37 39241:1
N 37 67172:0
N 37 64476:0
N 37 14699:1
N 37 72344:1
N 37 23754:1
N 37 48751:0
N 37 99865:1
N 37 92228:1
N 37 23494:0
N 37 60987:0
N 37 40361:0
N 37 26721:1
N 37 74742:1
N 37 88887:0
N 37 84309:0
N 37 100985:0
N 37 4844:1
N 37 19954:0
N 37 100409:1
N 37 99861:1
N 37 82942:1
N 37 6625:1
N 37 77919:1
N 37 108598:1
N 37 79227:1
N 37 49061:0
N 37 103319:0
N 37 31236:0
N 37 104558:1
N 37 97916:1
N 37 105034:1
N 37 76414:1
N 37 62000:0
N 37 95334:0
N 37 78888:1
N 37 91175:1
N 37 8457:1
N 37 115306:0
N 37 6188:1
N 37 55288:0
N 37 29507:0
N 37 36652:1
N 37 2701:0
N 37 2006:1
N 37 40708:1
N 37 29606:0
UTG 38 101187:0 93699:1 15 1
N 38 101187:0
N 38 43809:1
N 38 21321:0
N 38 33306:0
N 38 40063:1
N 38 13285:0
N 38 45340:0
N 38 42095:0
N 38 52369:0
N 38 83695:1
N 38 50649:1
N 38 62574:0
N 38 99749:0
N 38 92417:1
N 38 93699:1
UTG 39 101187:0 93699:1 7 1
N 39 101187:0
N 39 11428:1
N 39 100657:0
N 39 107680:1
N 39 52129:1
N 39 24821:0
N 39 93699:1
UTG 40 67264:0 99660:0 2 1
N 40 67264:0
N 40 99660:0
UTG 41 94382:1 98104:1 2 1
N 41 94382:1
N 41 98104:1
UTG 42 79242:0 99660:0 2 1
N 42 79242:0
N 42 99660:0
UTG 43 65584:0 66696:1 2 1
N 43 65584:0
N 43 66696:1
UTG 44 48481:1 84724:1 6 1
N 44 48481:1
N 44 79084:0
N 44 41672:0
N 44 84438:0
N 44 73041:0
N 44 84724:1
UTG 45 48481:1 84724:1 3 1
N 45 48481:1
N 45 59137:0
N 45 84724:1
UTG 46 76753:1 70758:1 2 1
N 46 76753:1
N 46 70758:1
UTG 47 111290:1 28116:1 3 1
N 47 111290:1
N 47 4440:0
N 47 28116:1
UTG 48 111290:1 28116:1 3 1
N 48 111290:1
N 48 6165:1
N 48 28116:1
UTG 49 43741:1 64414:0 9 1
N 49 43741:1
N 49 61649:0
N 49 72426:1
N 49 11286:1
N 49 18720:0
N 49 67397:0
N 49 99397:0
N 49 109194:1
N 49 64414:0
UTG 50 42717:0 71319:1 4 1
N 50 42717:0
N 50 66264:0
N 50 93278:0
N 50 71319:1
UTG 51 42717:0 71319:1 3 1
N 51 42717:0
N 51 102806:1
N 51 71319:1
UTG 52 80874:1 4144:0 2 1
N 52 80874:1
N 52 4144:0
UTG 53 95358:0 22232:0 2 1
N 53 95358:0
N 53 22232:0
UTG 54 53100:1 77601:1 7 1
N 54 53100:1
N 54 112161:1
N 54 71793:0
N 54 72002:1
N 54 50295:0
N 54 102453:0
N 54 77601:1
UTG 55 53100:1 77601:1 3 1
N 55 53100:1
N 55 42577:1
N 55 77601:1
UTG 56 86856:0 99660:0 2 1
N 56 86856:0
N 56 99660:0
UTG 57 89905:0 43888:1 76 1
N 57 89905:0
N 57 10150:0
N 57 61349:1
N 57 17285:1
N 57 18038:0
N 57 1391:1
N 57 101139:1
N 57 60416:0
N 57 101636:0
N 57 2894:1
N 57 98839:1
N 57 49325:0
N 57 102345:0
N 57 10923:1
N 57 59965:1
N 57 78117:1
N 57 39900:1
N 57 80290:0
N 57 84264:1
N 57 15521:0
N 57 109683:1
N 57 66860:0
N 57 86794:1
N 57 57042:1
N 57 5346:1
N 57 43052:0
N 57 5004:1
N 57 91516:0
N 57 95890:0
N 57 23720:0
N 57 11413:0
N 57 1966:1
N 57 39043:1
N 57 104985:0
N 57 36687:0
N 57 75407:0
N 57 110531:0
N 57 8758:0
N 57 64049:1
N 57 40480:0
N 57 32666:1
N 57 48979:1
N 57 71221:0
N 57 23188:1
N 57 103640:1
N 57 5376:0
N 57 32414:1
N 57 94248:1
N 57 37107:0
N 57 79980:0
N 57 56896:0
N 57 45629:0
N 57 53454:1
N 57 30184:0
N 57 76505:1
N 57 15321:0
N 57 13999:1
N 57 42634:1
N 57 86873:0
N 57 106883:0
N 57 113556:1
N 57 98650:0
N 57 58319:0
