S 11 2 5 1377 2716 0.0036310821 0.0018409425
S 9 20 5 1670 66 0.002994012 0.07575758
S 7 11 3 2013 1377 0.001490313 0.0021786492
S 19 7 5 1087 2013 0.004599816 0.002483855
S 1 9 16 2835 1670 0.005643739 0.0095808385
S 14 20 1 544 66 0.0018382353 0.015151516
S 12 13 3 878 677 0.0034168565 0.0044313148
S 8 0 15 1944 3780 0.0077160494 0.003968254
S 20 0 1 66 3780 0.015151516 0.00026455027
S 4 3 10 97 2578 0.10309278 0.003878976
S 0 5 11 3780 2386 0.002910053 0.0046102265
S 16 7 9 1895 2013 0.0047493405 0.004470939
S 14 12 1 544 878 0.0018382353 0.0011389522
S 11 9 6 1377 1670 0.0043572984 0.0035928143
S 5 2 15 2386 2716 0.0062866723 0.0055228276
S 19 12 2 1087 878 0.0018399263 0.0022779044
S 1 0 30 2835 3780 0.01058201 0.007936508
S 3 19 2 2578 1087 0.0007757952 0.0018399263
S 13 0 1 677 3780 0.0014771048 0.00026455027
S 8 9 7 1944 1670 0.003600823 0.0041916166
S 6 8 6 2331 1944 0.0025740026 0.0030864198
S 0 12 12 3780 878 0.0031746032 0.013667426
S 16 14 1 1895 544 0.0005277045 0.0018382353
S 10 6 1 1444 2331 0.00069252076 0.00042900044
S 3 10 4 2578 1444 0.0015515904 0.002770083
S 7 5 3 2013 2386 0.001490313 0.0012573345
S 8 14 2 1944 544 0.0010288066 0.0036764706
S 6 1 8 2331 2835 0.0034320035 0.0028218694
S 0 19 1 3780 1087 0.00026455027 0.0009199632
S 20 10 4 66 1444 0.060606062 0.002770083
S 5 12 8 2386 878 0.003352892 0.009111618
S 3 5 3 2578 2386 0.0011636928 0.0012573345
S 19 2 7 1087 2716 0.0064397426 0.0025773195
S 1 10 13 2835 1444 0.004585538 0.00900277
S 12 14 1 878 544 0.0011389522 0.0018382353
S 10 20 4 1444 66 0.002770083 0.060606062
S 20 3 6 66 2578 0.09090909 0.0023273856
S 0 2 20 3780 2716 0.005291005 0.00736377
S 16 0 45 1895 3780 0.023746701 0.011904762
S 11 6 6 1377 2331 0.0043572984 0.0025740026
S 9 8 7 1670 1944 0.0041916166 0.003600823
S 19 11 1 1087 1377 0.0009199632 0.0007262164
S 1 13 2 2835 677 0.00070546736 0.0029542097
S 3 20 6 2578 66 0.0023273856 0.09090909
S 13 5 1 677 2386 0.0014771048 0.0004191115
S 14 16 1 544 1895 0.0018382353 0.0005277045
S 12 1 51 878 2835 0.05808656 0.017989418
S 20 4 2 66 97 0.030303031 0.020618556
S 0 9 1 3780 1670 0.00026455027 0.0005988024
S 16 11 8 1895 1377 0.004221636 0.0058097313
S 14 8 2 544 1944 0.0036764706 0.0010288066
S 10 5 4 1444 2386 0.002770083 0.001676446
S 11 13 2 1377 677 0.0014524328 0.0029542097
S 9 1 16 1670 2835 0.0095808385 0.005643739
S 7 16 9 2013 1895 0.004470939 0.0047493405
S 5 6 15 2386 2331 0.0062866723 0.0064350064
S 19 16 34 1087 1895 0.031278748 0.017941952
S 17 3 56 32 2578 1.75 0.021722265
S 13 12 3 677 878 0.0044313148 0.0034168565
S 8 13 10 1944 677 0.005144033 0.014771049
S 2 7 13 2716 2013 0.004786451 0.0064580226
S 0 16 45 3780 1895 0.011904762 0.023746701
S 14 3 3 544 2578 0.005514706 0.0011636928
S 12 16 9 878 1895 0.010250569 0.0047493405
S 10 2 1 1444 2716 0.00069252076 0.0003681885
S 5 9 3 2386 1670 0.0012573345 0.0017964072
S 13 11 2 677 1377 0.0029542097 0.0014524328
S 7 1 18 2013 2835 0.008941878 0.0063492064
S 19 1 3 1087 2835 0.0027598897 0.0010582011
S 12 11 9 878 1377 0.010250569 0.006535948
S 10 11 8 1444 1377 0.005540166 0.0058097313
S 20 14 1 66 544 0.015151516 0.0018382353
S 3 1 14 2578 2835 0.005430566 0.004938272
S 11 3 2 1377 2578 0.0014524328 0.0007757952
S 9 11 6 1670 1377 0.0035928143 0.0043572984
S 7 10 2 2013 1444 0.000993542 0.0013850415
S 1 14 7 2835 544 0.002469136 0.012867647
S 12 2 8 878 2716 0.009111618 0.002945508
S 10 16 10 1444 1895 0.0069252076 0.005277045
S 8 3 8 1944 2578 0.004115226 0.0031031808
S 0 6 7 3780 2331 0.0018518518 0.003003003
S 16 4 5 1895 97 0.0026385225 0.05154639
S 14 13 1 544 677 0.0018382353 0.0014771048
S 11 10 8 1377 1444 0.0058097313 0.005540166
S 9 12 9 1670 878 0.0053892215 0.010250569
S 7 19 5 2013 1087 0.002483855 0.004599816
